id,year,state_name,state_code,marital_status,gender,number_of_deaths
349,2018,Lakshadweep,31,Status Not Known,Male,0
350,2018,Lakshadweep,31,Status Not Known,Transgender,0
351,2018,Lakshadweep,31,Un-Married,Female,0
352,2018,Lakshadweep,31,Un-Married,Male,2
353,2018,Lakshadweep,31,Un-Married,Transgender,0
354,2018,Lakshadweep,31,Widowed/Widower,Female,0
355,2018,Lakshadweep,31,Widowed/Widower,Male,0
356,2018,Lakshadweep,31,Widowed/Widower,Transgender,0
357,2018,Madhya Pradesh,23,Divorcee,Female,16
358,2018,Madhya Pradesh,23,Divorcee,Male,13
359,2018,Madhya Pradesh,23,Divorcee,Transgender,0
360,2018,Madhya Pradesh,23,Married,Female,2974
361,2018,Madhya Pradesh,23,Married,Male,5504
362,2018,Madhya Pradesh,23,Married,Transgender,0
363,2018,Madhya Pradesh,23,Others,Female,2
364,2018,Madhya Pradesh,23,Others,Male,5
365,2018,Madhya Pradesh,23,Others,Transgender,0
366,2018,Madhya Pradesh,23,Separated,Female,4
367,2018,Madhya Pradesh,23,Separated,Male,4
368,2018,Madhya Pradesh,23,Separated,Transgender,0
369,2018,Madhya Pradesh,23,Status Not Known,Female,7
370,2018,Madhya Pradesh,23,Status Not Known,Male,56
371,2018,Madhya Pradesh,23,Status Not Known,Transgender,0
372,2018,Madhya Pradesh,23,Un-Married,Female,1238
373,2018,Madhya Pradesh,23,Un-Married,Male,1729
374,2018,Madhya Pradesh,23,Un-Married,Transgender,1
375,2018,Madhya Pradesh,23,Widowed/Widower,Female,107
376,2018,Madhya Pradesh,23,Widowed/Widower,Male,115
377,2018,Madhya Pradesh,23,Widowed/Widower,Transgender,0
378,2018,Maharashtra,27,Divorcee,Female,29
379,2018,Maharashtra,27,Divorcee,Male,39
380,2018,Maharashtra,27,Divorcee,Transgender,0
381,2018,Maharashtra,27,Married,Female,3154
382,2018,Maharashtra,27,Married,Male,10582
383,2018,Maharashtra,27,Married,Transgender,0
384,2018,Maharashtra,27,Others,Female,14
385,2018,Maharashtra,27,Others,Male,24
386,2018,Maharashtra,27,Others,Transgender,0
387,2018,Maharashtra,27,Separated,Female,10
388,2018,Maharashtra,27,Separated,Male,20
389,2018,Maharashtra,27,Separated,Transgender,0
390,2018,Maharashtra,27,Status Not Known,Female,24
391,2018,Maharashtra,27,Status Not Known,Male,95
392,2018,Maharashtra,27,Status Not Known,Transgender,1
393,2018,Maharashtra,27,Un-Married,Female,1146
394,2018,Maharashtra,27,Un-Married,Male,2565
395,2018,Maharashtra,27,Un-Married,Transgender,0
396,2018,Maharashtra,27,Widowed/Widower,Female,97
397,2018,Maharashtra,27,Widowed/Widower,Male,172
398,2018,Maharashtra,27,Widowed/Widower,Transgender,0
399,2018,Manipur,14,Divorcee,Female,0
400,2018,Manipur,14,Divorcee,Male,0
401,2018,Manipur,14,Divorcee,Transgender,0
402,2018,Manipur,14,Married,Female,10
403,2018,Manipur,14,Married,Male,18
404,2018,Manipur,14,Married,Transgender,0
405,2018,Manipur,14,Others,Female,0
406,2018,Manipur,14,Others,Male,0
407,2018,Manipur,14,Others,Transgender,0
408,2018,Manipur,14,Separated,Female,0
409,2018,Manipur,14,Separated,Male,0
410,2018,Manipur,14,Separated,Transgender,0
411,2018,Manipur,14,Status Not Known,Female,0
412,2018,Manipur,14,Status Not Known,Male,0
413,2018,Manipur,14,Status Not Known,Transgender,0
414,2018,Manipur,14,Un-Married,Female,7
415,2018,Manipur,14,Un-Married,Male,17
416,2018,Manipur,14,Un-Married,Transgender,0
417,2018,Manipur,14,Widowed/Widower,Female,0
418,2018,Manipur,14,Widowed/Widower,Male,0
419,2018,Manipur,14,Widowed/Widower,Transgender,0
420,2018,Meghalaya,17,Divorcee,Female,2
421,2018,Meghalaya,17,Divorcee,Male,0
422,2018,Meghalaya,17,Divorcee,Transgender,0
423,2018,Meghalaya,17,Married,Female,15
424,2018,Meghalaya,17,Married,Male,71
425,2018,Meghalaya,17,Married,Transgender,0
426,2018,Meghalaya,17,Others,Female,0
427,2018,Meghalaya,17,Others,Male,0
428,2018,Meghalaya,17,Others,Transgender,0
429,2018,Meghalaya,17,Separated,Female,1
430,2018,Meghalaya,17,Separated,Male,4
431,2018,Meghalaya,17,Separated,Transgender,0
432,2018,Meghalaya,17,Status Not Known,Female,3
433,2018,Meghalaya,17,Status Not Known,Male,12
434,2018,Meghalaya,17,Status Not Known,Transgender,0
435,2018,Meghalaya,17,Un-Married,Female,17
436,2018,Meghalaya,17,Un-Married,Male,63
437,2018,Meghalaya,17,Un-Married,Transgender,0
438,2018,Meghalaya,17,Widowed/Widower,Female,0
439,2018,Meghalaya,17,Widowed/Widower,Male,1
440,2018,Meghalaya,17,Widowed/Widower,Transgender,0
441,2018,Mizoram,15,Divorcee,Female,1
442,2018,Mizoram,15,Divorcee,Male,4
443,2018,Mizoram,15,Divorcee,Transgender,0
444,2018,Mizoram,15,Married,Female,5
445,2018,Mizoram,15,Married,Male,24
446,2018,Mizoram,15,Married,Transgender,0
447,2018,Mizoram,15,Others,Female,0
448,2018,Mizoram,15,Others,Male,0
449,2018,Mizoram,15,Others,Transgender,0
450,2018,Mizoram,15,Separated,Female,0
451,2018,Mizoram,15,Separated,Male,3
452,2018,Mizoram,15,Separated,Transgender,0
453,2018,Mizoram,15,Status Not Known,Female,0
454,2018,Mizoram,15,Status Not Known,Male,0
455,2018,Mizoram,15,Status Not Known,Transgender,0
456,2018,Mizoram,15,Un-Married,Female,6
457,2018,Mizoram,15,Un-Married,Male,35
458,2018,Mizoram,15,Un-Married,Transgender,0
459,2018,Mizoram,15,Widowed/Widower,Female,0
460,2018,Mizoram,15,Widowed/Widower,Male,1
461,2018,Mizoram,15,Widowed/Widower,Transgender,0
462,2018,Nagaland,13,Divorcee,Female,0
463,2018,Nagaland,13,Divorcee,Male,0
464,2018,Nagaland,13,Divorcee,Transgender,0
465,2018,Nagaland,13,Married,Female,5
466,2018,Nagaland,13,Married,Male,13
467,2018,Nagaland,13,Married,Transgender,0
468,2018,Nagaland,13,Others,Female,0
469,2018,Nagaland,13,Others,Male,0
470,2018,Nagaland,13,Others,Transgender,0
471,2018,Nagaland,13,Separated,Female,0
472,2018,Nagaland,13,Separated,Male,0
473,2018,Nagaland,13,Separated,Transgender,0
474,2018,Nagaland,13,Status Not Known,Female,0
475,2018,Nagaland,13,Status Not Known,Male,1
476,2018,Nagaland,13,Status Not Known,Transgender,0
477,2018,Nagaland,13,Un-Married,Female,1
478,2018,Nagaland,13,Un-Married,Male,16
479,2018,Nagaland,13,Un-Married,Transgender,0
480,2018,Nagaland,13,Widowed/Widower,Female,0
481,2018,Nagaland,13,Widowed/Widower,Male,0
482,2018,Nagaland,13,Widowed/Widower,Transgender,0
483,2018,Odisha,21,Divorcee,Female,0
484,2018,Odisha,21,Divorcee,Male,0
485,2018,Odisha,21,Divorcee,Transgender,0
486,2018,Odisha,21,Married,Female,1077
487,2018,Odisha,21,Married,Male,1160
488,2018,Odisha,21,Married,Transgender,0
489,2018,Odisha,21,Others,Female,180
490,2018,Odisha,21,Others,Male,87
491,2018,Odisha,21,Others,Transgender,0
492,2018,Odisha,21,Separated,Female,0
493,2018,Odisha,21,Separated,Male,0
494,2018,Odisha,21,Separated,Transgender,0
495,2018,Odisha,21,Status Not Known,Female,569
496,2018,Odisha,21,Status Not Known,Male,619
497,2018,Odisha,21,Status Not Known,Transgender,0
498,2018,Odisha,21,Un-Married,Female,459
499,2018,Odisha,21,Un-Married,Male,441
500,2018,Odisha,21,Un-Married,Transgender,0
501,2018,Odisha,21,Widowed/Widower,Female,0
502,2018,Odisha,21,Widowed/Widower,Male,0
503,2018,Odisha,21,Widowed/Widower,Transgender,0
504,2018,Puducherry,34,Divorcee,Female,0
505,2018,Puducherry,34,Divorcee,Male,0
506,2018,Puducherry,34,Divorcee,Transgender,0
507,2018,Puducherry,34,Married,Female,13
508,2018,Puducherry,34,Married,Male,42
509,2018,Puducherry,34,Married,Transgender,0
510,2018,Puducherry,34,Others,Female,61
511,2018,Puducherry,34,Others,Male,113
512,2018,Puducherry,34,Others,Transgender,0
513,2018,Puducherry,34,Separated,Female,2
514,2018,Puducherry,34,Separated,Male,4
515,2018,Puducherry,34,Separated,Transgender,0
516,2018,Puducherry,34,Status Not Known,Female,44
517,2018,Puducherry,34,Status Not Known,Male,194
518,2018,Puducherry,34,Status Not Known,Transgender,0
519,2018,Puducherry,34,Un-Married,Female,6
520,2018,Puducherry,34,Un-Married,Male,21
521,2018,Puducherry,34,Un-Married,Transgender,0
522,2018,Puducherry,34,Widowed/Widower,Female,0
523,2018,Puducherry,34,Widowed/Widower,Male,0
524,2018,Puducherry,34,Widowed/Widower,Transgender,0
525,2018,Punjab,3,Divorcee,Female,5
526,2018,Punjab,3,Divorcee,Male,7
527,2018,Punjab,3,Divorcee,Transgender,0
528,2018,Punjab,3,Married,Female,244
529,2018,Punjab,3,Married,Male,913
530,2018,Punjab,3,Married,Transgender,0
531,2018,Punjab,3,Others,Female,0
532,2018,Punjab,3,Others,Male,0
533,2018,Punjab,3,Others,Transgender,1
534,2018,Punjab,3,Separated,Female,0
535,2018,Punjab,3,Separated,Male,2
536,2018,Punjab,3,Separated,Transgender,0
537,2018,Punjab,3,Status Not Known,Female,2
538,2018,Punjab,3,Status Not Known,Male,73
539,2018,Punjab,3,Status Not Known,Transgender,0
540,2018,Punjab,3,Un-Married,Female,96
541,2018,Punjab,3,Un-Married,Male,338
542,2018,Punjab,3,Un-Married,Transgender,0
543,2018,Punjab,3,Widowed/Widower,Female,11
544,2018,Punjab,3,Widowed/Widower,Male,22
545,2018,Punjab,3,Widowed/Widower,Transgender,0
546,2018,Rajasthan,8,Divorcee,Female,2
547,2018,Rajasthan,8,Divorcee,Male,3
548,2018,Rajasthan,8,Divorcee,Transgender,0
